+-------------------------------+-------------+-------------+-----------------------+--------------+-----------------------+-----------+----------------+-----+-------+-------------------+---------------+---------------+
|              site             |  analytics  | web-servers | javascript-frameworks | tag-managers | programming-languages | databases | web-frameworks | cms | blogs | operating-systems | miscellaneous | video-players |
|     opensourcemathbook.com    | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        xperiencias.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       transgenderweb.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          hwanwoo.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           thepam.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         hardfetish.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         cuntmaster.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        czechangels.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         dirtyspace.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          maretjoy.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         dearladies.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          acnmedia.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           aaapic.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         nakedself.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         avamonroe.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        sleepfetish.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           njysyn.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       animaldelight.com       |             |    Nginx    |                       |              |                       |           |                |     |       |                   |               |               |
|           gadins.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         myswallow.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         tuttiaroma.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           reeit.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        sexoanimales.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         sexoespana.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        forbiddenxtc.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         pornodaddy.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          pornkor.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     fuckentertainment.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        stuffedfull.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      adultoutsourcing.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        analdestroy.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        assholenaked.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       freevoyeurxxx.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         brutalhost.com        |             |    Apache   |         jQuery        |              |                       |           |                |     |       |                   |               |               |
|          imagedl.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          sinvids.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       veronicafranco.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       freepornfetish.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      portalkesehatan.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         superthong.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       spankingmonkey.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           crieel.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         girlcyber.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|       gordasguarras.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         debralove.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       forbiddendream.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           tubeaz.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     freebettingonline.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          mooporn.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          sexcamel.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       rubberaddicted.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      facialfantasies.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         beesplace.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        pornosafado.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          poopbutt.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        billswebsite.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          xmaturex.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         cloudears.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         peemybaby.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         sexvideo69.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           sloony.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       culosardientes.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         hotchickas.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           possat.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        mysteryporn.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         detoxfiber.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       telefonlivesex.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         superdevki.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          artlier.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        infectedcode.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           shicar.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        dvdpornoshop.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         yunashiina.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           moongs.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           xxxlib.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         bootygroup.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        mondofetish.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         movieshost.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       desalvolevine.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        pinkilicious.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        nylonthumbs.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         spicystars.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       islamicintros.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         tubeholic.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       bikinidiaries.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      japanese-casino.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        titsfantasy.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        gaylesplace.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         gaycosmos.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           molcam.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       mobilexxxporn.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          slutsite.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         free-adult.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          xxotube.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         fillesnue.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          erogrank.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         bensbabes.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         orgystory.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        hornychicken.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        videoblowjob.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        builderspark.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         alanortega.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         jacobsbar.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        sportladies.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          foottgp.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      adultdvdexperts.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       autodianjiaoji.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      californianudes.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         ladypaname.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          pornrex.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           meet21.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          gaybone.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        hentaimaniac.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        erotictaboos.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          hotnorth.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        ladyboylive.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        tusexogratis.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|     yourtrustedwebguy.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        teenspecial.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      evhanimipornosu.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          greenrey.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|     marketingvenezuela.com    | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          bitchnet.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        pssanitaire.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        realsexgirls.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        clitorisblog.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        emergencysex.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          passfan.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          blauclub.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        masterlounge.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        pornholiday.com        |             |             |                       |              |                       |           |                |     |       |                   |               |               |
|         deswingers.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        hokkaido-job.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|      pimpdaddywelfare.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          sexsane.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           biocum.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         daviesart.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        fuckvirgins.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          heygays.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         needporno.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          efradin.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          titanicx.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       freeadulttoys.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|     teardropcreations.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           kvrass.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          alidupri.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         wickedmoms.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         includiae.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|        twistedvideo.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           phsex.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         solidcaps.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           oasid.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      ekentertainment.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       multicontactos.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          dvdklick.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        girlshogtied.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       adultproducers.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         teenexpose.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       heelsparadise.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       adultcompanies.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        pornoizlesek.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        hot-lesbian.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         slutphone.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        hardnetworks.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       pussycatplace.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          yarbeni.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        fotoshoppen.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          comdigi.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        transenparty.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          lastporn.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|            945o.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          pornsxxx.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          jexcite.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         thumbmart.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          babeboom.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       mistressdionne.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         muralibabu.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          girlsnap.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         youngirlz.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          worstsex.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       seksfilmiizle.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         picshentai.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       jessiecapelli.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         xxxmember.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          bluetoon.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          kthxdie.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          dosugxxx.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           warst.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       checkmatesclub.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        milfpassion.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           aakal.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       watermanifolds.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       earthcountdown.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         videowapi.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        milflivesex.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       brittanybanks.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         messyfeet.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           fattis.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           hqmfs.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         goofaster.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        coralkarnaze.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         assestube.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        ftvgirlsxxx.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       viejasdesnudas.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       remarkabletube.com      |             |             |                       |              |                       |           |                |     |       |                   |               |               |
